Chinese Name,Pinyin Name,Category,Element 1,Element 2,Element 3,Element 4
八百长春,babaichangchun,A,Chinese Crested Mynah,Madagascar Periwinkle,Cypress,
八百遐龄,babaixialing,A,Chinese Crested Mynah,Cypress,Peach Blossom,
八百有零,babaiyouling,A,Chinese Crested Mynah,Cypress,,
白头到老,baitoudaolao,A,Chinese Bulbul,,,
白头富贵,baitoufugui,A,Chinese Bulbul,Peony,,
白头眉寿,baitoumeishou,A,Chinese Bulbul,Prunus,Garden Rock,
白头同老,baitoutonglao,A,Chinese Bulbul,,,
白头偕老,baitouxielao,A,Chinese Bulbul,,,
百龄眉寿,bailingmeishou,A,Cypress,Prunus,Garden Rock,
百龄食禄,bailingshilu,A,Cypress,Deer,,
百岁图,baisuitu,A,Scrapes Of Penmanship and Painting,Torn Pages From Books,,
必得其寿,bideqishou,A,Magnolia,Garden Rock,,
长春白头,changchunbaitou,A,Madagascar Periwinkle,Chinese Bulbul,,
长春寿喜,changchunshouxi,A,Madagascar Periwinkle,Garden Rock,Magpie,
长命富贵,changmingfugui,A,Peach Blossom,Peony,,
长年,changnian,A,Catfish,,,
长年大贵,changniandagui,A,Catfish,Mandarin Fish,,
长寿不老,changshoubulao,A,Long-tailed Tit,Pine Tree,,
春光长寿,chunguangchangshou,A,Madagascar Periwinkle,Long-tailed Tit,,
椿萱图,chunxuantu,A,Chinese Mahogany,Orange Lily,,
大富贵亦寿考,dafuguiyishoukao,A,Peony,Long-tailed Tit,,
代代寿仙,daidaishouxian,A,Long-tailed Tit,Narcissus,,
耋寿,dieshou,A,Butterfly,Peach,,
耋寿富贵,dieshoufugui,A,Butterfly,Garden Rock,Peony,
多福多寿,duofuduoshou,A,Bat,Peach,,
多福多寿多男子,duofuduoshouduonanzi,A,Bat,Pomegranate,,
多寿多子,duoshouduozi,A,Pomegranate,Long-tailed Tit,,
封侯增寿,fenghouzengshou,A,Peach,Monkey,Bee,
福禄寿,fulushou,A,Bat,Deer,Fungus,
福禄寿喜,fulushouxi,A,Bat,Deer,Magpie,Peach
福寿,fushou,A,Bat,Shou Character ,,
福寿长春,fushouchangchun,A,Bat,Madagascar Periwinkle,,
福寿长庆,fushouchangqing,A,Bat,Shou Character ,Knot,Stone Musical Triangle
福寿富贵,fushoufugui,A,Buddha's Hands,Garden Rock,Peony,
福寿吉祥,fushoujixiang,A,Bat,Peach,The Eight Buddhist Emblems,
福寿绵长,fushoumianchang,A,Bat,Peach,Knot,
福寿如意,fushouruyi,A,Bat,Peach,Sceptre,
福寿双全,fushoushuangquan,A,Bat,Coin,,
福寿万年,fushouwannian,A,Bat,Peach,Swastika,
福寿无疆,fushouwujiang,A,Buddha's Hands,,,
富贵白头,fuguibaitou,A,Peony,Chinese Bulbul,,
富贵长春,fuguichangchun,A,Peony,Madagascar Periwinkle,,
富贵长绵,fuguichangmian,A,Peony,Knot,,
富贵长寿,fuguichangshou,A,Peony,Long-tailed Tit,,
富贵福寿,fuguifushou,A,Peony,Bat,Peach,
富贵高寿,fuguigaoshou,A,Peony,Garden Rock,,
富贵耄耋,fuguimaodie,A,Peony,Cat,Butterfly,
富贵荣华到白头,fuguironghuadaobaitou,A,Peony,Hibiscus,Chinese Bulbul,
富贵神仙,fuguishenxian,A,Peony,Narcissus,,
富贵寿考,fuguishoukao,A,Peony,Garden Rock,,
富贵双寿,fuguishuangshou,A,Peony,Long-tailed Tit,,
高堂双寿,gaotangshuangshou,A,Long-tailed Tit,Crab Apple,,
海屋添寿,haiwutianshou,A,Chip,Palatial Building In The Sea,,
和合万年,hehewannian,A,Chinese Lily,Rohdea Japonica,,
华封三祝,huafengsanzhu,A,Heavenly Bamboo,,,
介寿,jieshou,A,Garden Rock,,,
老者多寿 少者多子,laozheduoshoushaozheduozi,A,Pomegranate,Peach,,
耄耋（图）,maodietu,A,Cat,Butterfly,,
耄耋富贵,maodiefugui,A,Peony,Cat,Butterfly,
眉寿,meishou,A,Prunus,Long-tailed Tit,,
齐眉祝寿,qimeizhushou,A,Prunus,Bamboo,Long-tailed Tit,
起居延年,qijuyannian,A,Boxthorn,Chrysanthemum,Garden Rock,
群仙拱寿,qunxiangongshou,A,Peach Blossom,Narcissus,Pine Tree,
群仙祝寿,qunxianzhushou,A,Narcissus,Garden Rock,,
三多,sanduo,A,Bat,Pomegranate,,
三公百寿,sangongbaishou,A,Three,Chicken,Cypress,
寿比南山,shoubinanshan,A,Peach,Pen Brush,Zhong Kui,
寿长久,shouchangjiu,A,Peach,Wine Urn,,
寿居,shouju,A,Garden Rock,Chrysanthemum,,
寿居耄耋,shoujumaodie,A,Garden Rock,Chrysanthemum,Cat,Butterfly
寿山福海,shoushanfuhai,A,Fungus,Bat,Sea,Mountain
寿上加寿,shoushangjiashou,A,Garden Rock,Long-tailed Tit,,
双福双寿,shuangfushuangshou,A,Bat,Peach,,
双寿,shuangshou,A,Long-tailed Tit,Peach,,
堂上白头,tangshangbaitou,A,Chinese Bulbul,Crab Apple,,
堂上双白,tangshangshuangbai,A,Chinese Bulbul,Chinese Parasol Tree,,
天长地久,tianchangdijiu,A,Heavenly Bamboo,Squash,,
天地长春,tiandichangchun,A,Heavenly Bamboo,Squash,Madagascar Periwinkle,
天仙拱寿,tianxiangongshou,A,Heavenly Bamboo,Narcissus,,
天仙眉寿,tianxianmeishou,A,Heavenly Bamboo,Narcissus,Throstle,
天仙寿芝,tianxianshouzhi,A,Heavenly Bamboo,Narcissus,Fungus,
天祝白头,tianzhubaitou,A,Heavenly Bamboo,Chinese Bulbul,,
同偕到老,tongxiedaolao,A,Bronze Mirror,Shoes,,
万福万寿,wanfuwanshou,A,Swastika,Shou Character ,Bat,
万寿长春,wanshouchangchun,A,Rohdea Japonica,Garden Rock,Madagascar Periwinkle,
许君双寿,xujunshuangshou,A,Mouse,Peach,,
许君松寿,xujunsongshou,A,Mouse,Pine Tree,,
萱耋图,xuandietu,A,Orange Lily,Butterfly,,
萱寿图,xuanshoutu,A,Orange Lily,Garden Rock,,
一路功名到白头,yilugongmingdaobaitou,A,Egret,Chinese Bulbul,,
一路荣华到白头,yiluronghuadaobaitou,A,Hibiscus,Egret,Chinese Bulbul,
玉堂贵寿,yutangguishou,A,Magnolia,Peach,Peony,
芝仙祝寿,zhixianzhushou,A,Bamboo,Fungus,Narcissus,Garden Rock
五福捧寿,wufupengshou,A,Bat,Shou Character ,,
状元祝寿,zhuangyuanzhushou,A,Citrus Grandis,Bamboo,Long-tailed Tit,
鹤鹿同春,helutongchun,A,Deer,crane,Chinese Parasol Tree,
三多九如,sanduojiuru,A,Buddha's Hands,Pomegranate,Sceptre,
五福长庆,wufuchangqing,A,Bat,Knot,Stone Musical Triangle,
安喜图,anxitu,B,Quail,Magpie,,
报喜图,baoxitu,B,Leopard,Magpie,,
大喜大利,daxidali,B,Magpie,Lychee,,
多福多寿多男子,duofuduoshouduonanzi,B,Bat,Pomegranate,,
福禄寿喜,fulushouxi,B,Bat,Deer,Magpie,Peach
福缘善庆,fuyuanshanqing,B,Bat,Fan,Stone Musical Triangle,
福在眼前,fuzaiyanqian,B,Bat,Coin,,
福自天来,fuzitianlai,B,Bat,Sky,,
富贵双喜,fuguishuangxi,B,Peony,Magpie,,
欢天喜地,huantianxidi,B,Badger,Magpie,,
吉庆双余,jiqingshuangyu,B,Halbard,Stone Musical Triangle,Fish,
吉庆有余,jiqingyouyu,B,Striking,Stone Musical Triangle,Fish,
皆大欢喜,jiedahuanxi,B,Magpie,,,
接喜图,jiexitu,B,Magpie,,,
乐福,lefu,B,Bat,,,
纳福迎祥,nafuyingxiang,B,Boy,Bat,Vat,
三多,sanduo,B,Bat,Pomegranate,,
十全报喜,shiquanbaoxi,B,Magpie,,,
四喜,sixi,B,Spider,,,
同喜,tongxi,B,Chinese Parasol Tree,Magpie,,
万象更新,wanxianggengxin,B,Rohdea Japonica,Elephant,,
喜乐图,xiletu,B,Magpie,Deer,,
喜上眉梢,xishangmeishao,B,Magpie,Prunus,On top,
喜事连连,xishilianlian,B,Magpie,Lotus,,
喜事重重,xishichongchong,B,Magpie,Persimmon,,
喜象,xixiang,B,Bathing,Elephant,,
百福并臻,baifubingzhen,B,Hundred,Bat,,
百福繁生,baifufansheng,B,Cypress,Bat,Banner,Bushel
百吉,baiji,B,Chicken,,,
百世多吉,baishiduoji,B,Persimmon,Tangerine,,
百事大吉,baishidaji,B,Chinese Lily,Persimmon,Tangerine,
百事如意,baishiruyi,B,Chinese Lily,Persimmon,Fungus,
必定如意,bidingruyi,B,Pen Brush,Ingot,Sceptre,
大福,dafu,B,Bat,,,
大吉,daji,B,Chicken,,,
大吉大利,dajidali,B,Tangerine,Lychee,,
大吉祥,dajixiang,B,Goat,,,
多福多寿,duofuduoshou,B,Bat,Peach,,
多子多福,duoziduofu,B,Pomegranate,Bat,,
福从天降,fucongtianjiang,B,Bat,Sky,,
福到,fudao,B,Bat,,,
福到,fudao,B,Fu,,,
福禄,fulu,B,Calabash,Bat,,
福禄并臻,fulubingzhen,B,Bat,Deer,,
福禄寿,fulushou,B,Bat,Deer,Fungus,
福禄寿喜,fulushouxi,B,Bat,Deer,Magpie,Peach
福禄万代,fuluwandai,B,Bat,Calabash,Vine,
福禄鸳鸯,fuluyuanyang,B,Hibiscus,Reed,Mandarin Duck,
福禄自天降,fuluzitianjiang,B,Bat,Calabash,,
福庆,fuqing,B,Bat,Stone Musical Triangle,,
福庆如意,fuqingruyi,B,Bat,Stone Musical Triangle,Sceptre,
福庆双全,fuqingshuangquan,B,Bat,Stone Musical Triangle,Coin,
福庆双余,fuqingshuangyu,B,Bat,Stone Musical Triangle,Fish,
福寿,fushou,B,Bat,Shou Character ,,
福寿长春,fushouchangchun,B,Bat,Madagascar Periwinkle,,
福寿长庆,fushouchangqing,B,Bat,Shou Character ,Knot,Stone Musical Triangle
福寿富贵,fushoufugui,B,Buddha's Hands,Garden Rock,Peony,
福寿吉祥,fushoujixiang,B,Bat,Peach,The Eight Buddhist Emblems,
福寿绵长,fushoumianchang,B,Bat,Peach,Knot,
福寿如意,fushouruyi,B,Bat,Peach,Sceptre,
福寿双全,fushoushuangquan,B,Bat,Coin,Peach,
福寿万年,fushouwannian,B,Bat,Peach,Swastika,
福寿无疆,fushouwujiang,B,Buddha's Hands,,,
福缘善庆,fuyuanshanqing,B,Bat,Fan,Stone Musical Triangle,
福运,fuyun,B,Bat,Cloud,,
福增贵子,fuzengguizi,B,Bat,osmanthus,,
富贵多福,fuguiduofu,B,Peony,Buddha's Hands,,
富贵福寿,fuguifushou,B,Peony,Bat,Peach,
富贵吉庆,fuguijiqing,B,Peony,Halbard,Stone Musical Triangle,
富贵双全,fuguishuangquan,B,Peony,Pekingese Dog,,
和合如意,heheruyi,B,Lotus,Box,Sceptre,
洪福齐天,hongfuqitian,B,Bat,,,
华封三祝,huafengsanzhu,B,Heavenly Bamboo,,,
吉庆,jiqing,B,Striking,Stone Musical Triangle,,
吉庆平安,jiqingpingan,B,Halbard,Stone Musical Triangle,Vase,
吉庆如意,jiqingruyi,B,Stone Musical Triangle,Sceptre,,
吉庆双余,jiqingshuangyu,B,Halbard,Stone Musical Triangle,Fish,
吉岁,jisui,B,Scrapes Of Penmanship And Painting,Torn Pages From Books,,
吉祥如意,jixiangruyi,B,Elephant,Sceptre,,
吉祥童子,jixiangtongzi,B,sheep,Boy,,
九如,jiuru,B,Fish,,,
乐福,lefu,B,Bat,,,
马上得福,mashangdefu,B,Horse,Bat,,
纳福迎祥,nafuyingxiang,B,Boy,Bat,Vat,
年年大吉,nianniandaji,B,Catfish,Tangerine,,
年年如意,niannianruyi,B,Catfish,Fungus,,
平安如意,pinganruyi,B,Vase,Sceptre,,
平安五福自天来,pinganwufuzitianlai,B,Boy,Bat,,
平升五福,pingshengwufu,B,Vase,Bamboo Windpipe,Bat,
翘盼福音,qiaopanfuyin,B,Boy,Bat,,
如意万福,ruyiwanfu,B,Knot,Swastika,Bat,
三多九如,sanduojiuru,B,Buddha's Hands,Pomegranate,Sceptre,
事事如意,shishiruyi,B,Persimmon,Sceptre,,
室上大吉,shishangdaji,B,Chicken,Garden Rock,,
寿山福海,shoushanfuhai,B,Fungus,Bat,Sea,Mountain
双福双寿,shuangfushuangshou,B,Bat,Peach,,
双余吉庆,shuangyujiqing,B,Halbard,Stone Musical Triangle,FIsh,
太平吉利,taipingjili,B,Apple,Tangerine,Lychee,
太平青吉,taipingqingji,B,Apple,Tangerine,,
万福万寿,wanfuwanshou,B,Swastika,Shou Character ,Bat,
万年吉庆,wannianjiqing,B,Pine Tree,Stone Musical Triangle,Hammer,
万年如意,wannianruyi,B,Swastika,Catfish,Sceptre,
万事如意,wanshiruyi,B,Swastika,Persimmon,Sceptre,
万寿长春,wanshouchangchun,B,Rohdea Japonica,Garden Rock,Madagascar Periwinkle,
五福长庆,wufuchangqing,B,Five,Bat,Knot,Stone Musical Triangle
五福和合,wufuhehe,B,Five,Bat,Box,
五福兼隆,wufujianlong,B,Five,Bat,Coop,
五福捧寿,wufupengshou,B,Five,Bat,Shou Character ,
喜从天降,xicongtianjiang,B,Spider,,,
新春大吉,xinchundaji,B,Chicken,,,
新年大吉,xinniandaji,B,Catfish,Chicken,,
一路福星,yilufuxing,B,Deer,God Of Good Fortune,,
月月见喜,yueyuejianxi,B,Monthly Rose,Magpie,,
月月锦绣,yueyuejinxiu,B,Monthly Rose,Long-tailed Pheasant,,
重重叠叠,chongchongdiedie,B,Silkworm,Silkworm Moth,Butterfly,
心灵福至,xinlingfuzhi,B,Water Caltrop,Bat,,
喜得连科,xidelianke,C,Magpie,Lotus,,
百爵,baijue,C,Sparrow,,,
辈辈封侯,beibeifenghou,C,Monkey,,,
必定升官,bidingshengguan,C,Pen Brush,Ingot,Official Hat,
蟾宫折桂,changongzhegui,C,Toad,Bow,osmanthus,
长年大贵,changniandagui,C,Catfish,Mandarin Fish,,
传胪,chuanlu,C,Crab,Reed,,
夺魁,duokui,C,Boy,Helmet,,
二甲传胪,erjiachuanlu,C,Crab,Reed,,
封侯,fenghou,C,Bee,Monkey,,
封侯挂印,fenghouguayin,C,Monkey,Seal,Bee,
封侯荫伯,fenghouyinbo,C,Monkey,Bee,Cypress,
封侯增寿,fenghouzengshou,C,Peach,Monkey,Bee,
夫荣妻贵,furongqigui,C,Hibiscus,,,
福寿富贵,fushoufugui,C,Buddha's Hands,Garden Rock,Peony,
富贵白头,fuguibaitou,C,Peony,Chinese Bulbul,,
富贵长春,fuguichangchun,C,Peony,Madagascar Periwinkle,,
富贵长绵,fuguichangmian,C,Peony,Knot,,
富贵长寿,fuguichangshou,C,Peony,Long-tailed Tit,,
富贵登云,fuguidengyun,C,Peony,Lamp,Cloud,
富贵多福,fuguiduofu,C,Peony,Buddha's Hands,,
富贵多子,fuguiduozi,C,Peony,Pomegranate,,
富贵福寿,fuguifushou,C,Peony,Bat,Peach,
富贵高寿,fuguigaoshou,C,Peony,Garden Rock,,
富贵和平,fuguiheping,C,Peony,Pigeon,,
富贵吉庆,fuguijiqing,C,Peony,Halbard,Stone Musical Triangle,
富贵满堂,fuguimantang,C,Peony,chinese flowering crab-apple,,
富贵耄耋,fuguimaodie,C,Peony,Cat,Butterfly,
富贵平安,fuguipingan,C,Peony,pingan,,
富贵齐眉,fuguiqimei,C,Water Chestnut,Prunus,Bat,
富贵齐眉 白头偕老,fuguiqimeibaitouxielao,C,Peony,Prunus,Chinese Bulbul,
富贵荣华,fuguironghua,C,Peony,Hibiscus,,
富贵荣华到白头,fuguironghuadaobaitou,C,Peony,Hibiscus,Chinese Bulbul,
富贵神仙,fuguishenxian,C,Peony,Narcissus,,
富贵寿考,fuguishoukao,C,Peony,Garden Rock,,
富贵双全,fuguishuangquan,C,Peony,Pekingese Dog,,
富贵双寿,fuguishuangshou,C,Peony,Long-tailed Tit,,
富贵双喜,fuguishuangxi,C,Peony,Magpie,,
富贵双余,fuguishuangyu,C,Peony,Fish,,
富贵太平,fuguitaiping,C,Peony,Vase,,
